Label,P6:string,P5:string,P7:url,P2:wikibase-item,P3:wikibase-item,Description
Alan Dawson,Alan_Dawson,http://dbpedia.org/resource/Alan_Dawson,https://linkedjazz.org/image/square/Alan_Dawson.png,Q3,Q6,
Pharoah Sanders,Pharoah_Sanders,http://dbpedia.org/resource/Pharoah_Sanders,https://linkedjazz.org/image/square/Pharoah_Sanders.png,Q3,Q6,
Charlie Parker,Charlie_Parker,http://dbpedia.org/resource/Charlie_Parker,https://linkedjazz.org/image/square/Charlie_Parker.png,Q3,Q6,
B.B. King,B.B._King,http://dbpedia.org/resource/B.B._King,https://linkedjazz.org/image/square/B.B._King.png,Q3,Q6,
Joe Gordon,Joe_Gordon,http://dbpedia.org/resource/Joe_Gordon_(musician),https://linkedjazz.org/image/square/Joe_Gordon_(musician).png,Q3,Q6,
Donald Harrison,Donald_Harrison,http://dbpedia.org/resource/Donald_Harrison,https://linkedjazz.org/image/square/Donald_Harrison.png,Q3,Q6,
Red Rodney,Red_Rodney,http://dbpedia.org/resource/Red_Rodney,https://linkedjazz.org/image/square/Red_Rodney.png,Q3,Q6,
Gigi Gryce,Gigi_Gryce,http://dbpedia.org/resource/Gigi_Gryce,https://linkedjazz.org/image/square/Gigi_Gryce.png,Q3,Q6,
Chet Baker,Chet_Baker,http://dbpedia.org/resource/Chet_Baker,https://linkedjazz.org/image/square/Chet_Baker.png,Q3,Q6,
Lester Young,Lester_Young,http://dbpedia.org/resource/Lester_Young,https://linkedjazz.org/image/square/Lester_Young.png,Q3,Q6,
Billy Eckstine,Billy_Eckstine,http://dbpedia.org/resource/Billy_Eckstine,https://linkedjazz.org/image/square/Billy_Eckstine.png,Q3,Q6,
Frank Kidd,Frank_Kidd,,https://linkedjazz.org/image/square/Frank_Kidd.png,Q3,Q6,
Art Tatum,Art_Tatum,http://dbpedia.org/resource/Art_Tatum,https://linkedjazz.org/image/square/Art_Tatum.png,Q3,Q6,
Tony Williams,Tony_Williams,http://dbpedia.org/resource/Tony_Williams_(drummer),https://linkedjazz.org/image/square/Tony_Williams_(drummer).png,Q3,Q6,
Oscar Peterson,Oscar_Peterson,http://dbpedia.org/resource/Oscar_Peterson,https://linkedjazz.org/image/square/Oscar_Peterson.png,Q3,Q6,
Bud Powell,Bud_Powell,http://dbpedia.org/resource/Bud_Powell,https://linkedjazz.org/image/square/Bud_Powell.png,Q3,Q6,
Ornette Coleman,Ornette_Coleman,http://dbpedia.org/resource/Ornette_Coleman,https://linkedjazz.org/image/square/Ornette_Coleman.png,Q3,Q6,
Nat Pierce,Nat_Pierce,http://dbpedia.org/resource/Nat_Pierce,https://linkedjazz.org/image/square/Nat_Pierce.png,Q3,Q6,
Archie Shepp,Archie_Shepp,http://dbpedia.org/resource/Archie_Shepp,https://linkedjazz.org/image/square/Archie_Shepp.png,Q3,Q6,
Tadd Dameron,Tadd_Dameron,http://dbpedia.org/resource/Tadd_Dameron,https://linkedjazz.org/image/square/Tadd_Dameron.png,Q3,Q6,
Coleman Hawkins,Coleman_Hawkins,http://dbpedia.org/resource/Coleman_Hawkins,https://linkedjazz.org/image/square/Coleman_Hawkins.png,Q3,Q6,
Bill Strumpets,Bill_Strumpets,,https://linkedjazz.org/image/square/Bill_Strumpets.png,Q3,Q6,
"George ""Wild_Child"" Butler","George_""Wild_Child""_Butler","http://dbpedia.org/resource/George_""Wild_Child""_Butler",https://linkedjazz.org/image/square/George_Wild_Child_Butler.png,Q3,Q6,
Nat King Cole,Nat_King_Cole,http://dbpedia.org/resource/Nat_King_Cole,https://linkedjazz.org/image/square/Nat_King_Cole.png,Q3,Q6,
Eric Dolphy,Eric_Dolphy,http://dbpedia.org/resource/Eric_Dolphy,https://linkedjazz.org/image/square/Eric_Dolphy.png,Q3,Q6,
Sam Rivers,Sam_Rivers,http://dbpedia.org/resource/Sam_Rivers,https://linkedjazz.org/image/square/Sam_Rivers.png,Q3,Q6,
Cecil Taylor,Cecil_Taylor,http://dbpedia.org/resource/Cecil_Taylor,https://linkedjazz.org/image/square/Cecil_Taylor.png,Q3,Q6,
Paul Bley,Paul_Bley,http://dbpedia.org/resource/Paul_Bley,https://linkedjazz.org/image/square/Paul_Bley.png,Q3,Q6,
Jaki Byard,Jaki_Byard,http://dbpedia.org/resource/Jaki_Byard,https://linkedjazz.org/image/square/Jaki_Byard.png,Q3,Q6,
Charlie Mariano,Charlie_Mariano,http://dbpedia.org/resource/Charlie_Mariano,https://linkedjazz.org/image/square/Charlie_Mariano.png,Q3,Q6,
John Coltrane,John_Coltrane,http://dbpedia.org/resource/John_Coltrane,https://linkedjazz.org/image/square/John_Coltrane.png,Q3,Q6,
Dizzy Gillespie,Dizzy_Gillespie,http://dbpedia.org/resource/Dizzy_Gillespie,https://linkedjazz.org/image/square/Dizzy_Gillespie.png,Q3,Q6,
Quincy Jones,Quincy_Jones,http://dbpedia.org/resource/Quincy_Jones,https://linkedjazz.org/image/square/Quincy_Jones.png,Q3,Q6,
Wynton Marsalis,Wynton_Marsalis,http://dbpedia.org/resource/Wynton_Marsalis,https://linkedjazz.org/image/square/Wynton_Marsalis.png,Q3,Q6,
Miles Davis,Miles_Davis,http://dbpedia.org/resource/Miles_Davis,https://linkedjazz.org/image/square/Miles_Davis.png,Q3,Q6,
Billie Holiday,Billie_Holiday,http://dbpedia.org/resource/Billie_Holiday,https://linkedjazz.org/image/square/Billie_Holiday.png,Q3,Q6,
Rodney Kendrick,Rodney_Kendrick,http://dbpedia.org/resource/Rodney_Kendrick,https://linkedjazz.org/image/square/Rodney_Kendrick.png,Q3,Q6,
Thad Jones,Thad_Jones,http://dbpedia.org/resource/Thad_Jones,https://linkedjazz.org/image/square/Thad_Jones.png,Q3,Q6,
Johnny Griffin,Johnny_Griffin,http://dbpedia.org/resource/Johnny_Griffin,https://linkedjazz.org/image/square/Johnny_Griffin.png,Q3,Q6,
Lionel Hampton,Lionel_Hampton,http://dbpedia.org/resource/Lionel_Hampton,https://linkedjazz.org/image/square/Lionel_Hampton.png,Q3,Q6,
Gene Ammons,Gene_Ammons,http://dbpedia.org/resource/Gene_Ammons,https://linkedjazz.org/image/square/Gene_Ammons.png,Q3,Q6,
Illinois Jacquet,Illinois_Jacquet,http://dbpedia.org/resource/Illinois_Jacquet,https://linkedjazz.org/image/square/Illinois_Jacquet.png,Q3,Q6,
Joe Williams,Joe_Williams,http://dbpedia.org/resource/Joe_Williams_(jazz_singer),https://linkedjazz.org/image/square/Joe_Williams_(jazz_singer).png,Q3,Q6,
James Moody,James_Moody,http://dbpedia.org/resource/James_Moody_(saxophonist),https://linkedjazz.org/image/square/James_Moody_(saxophonist).png,Q3,Q6,
Ron Carter,Ron_Carter,http://dbpedia.org/resource/Ron_Carter,https://linkedjazz.org/image/square/Ron_Carter.png,Q3,Q6,
Charles Davis_(flute_player),Charles_Davis_(flute_player),http://dbpedia.org/resource/Charles_Davis_(flute_player),https://linkedjazz.org/image/square/Charles_Davis_(flute_player).png,Q3,Q6,
Sonny Rollins,Sonny_Rollins,http://dbpedia.org/resource/Sonny_Rollins,https://linkedjazz.org/image/square/Sonny_Rollins.png,Q3,Q6,
Sun Ra,Sun_Ra,http://dbpedia.org/resource/Sun_Ra,https://linkedjazz.org/image/square/Sun_Ra.png,Q3,Q6,
Fats Navarro,Fats_Navarro,http://dbpedia.org/resource/Fats_Navarro,https://linkedjazz.org/image/square/Fats_Navarro.png,Q3,Q6,
Benny Goodman,Benny_Goodman,http://dbpedia.org/resource/Benny_Goodman,https://linkedjazz.org/image/square/Benny_Goodman.png,Q3,Q6,
Louis Jordan,Louis_Jordan,http://dbpedia.org/resource/Louis_Jordan,https://linkedjazz.org/image/square/Louis_Jordan.png,Q3,Q6,
Ben Webster,Ben_Webster,http://dbpedia.org/resource/Ben_Webster,https://linkedjazz.org/image/square/Ben_Webster.png,Q3,Q6,
Fletcher Henderson,Fletcher_Henderson,http://dbpedia.org/resource/Fletcher_Henderson,https://linkedjazz.org/image/square/Fletcher_Henderson.png,Q3,Q6,
Kenny Dorham,Kenny_Dorham,http://dbpedia.org/resource/Kenny_Dorham,https://linkedjazz.org/image/square/Kenny_Dorham.png,Q3,Q6,
Von Freeman,Von_Freeman,http://dbpedia.org/resource/Von_Freeman,https://linkedjazz.org/image/square/Von_Freeman.png,Q3,Q6,
Clark Terry,Clark_Terry,http://dbpedia.org/resource/Clark_Terry,https://linkedjazz.org/image/square/Clark_Terry.png,Q3,Q6,
John Gilmore,John_Gilmore,http://dbpedia.org/resource/John_Gilmore_(musician),https://linkedjazz.org/image/square/John_Gilmore_(musician).png,Q3,Q6,
Dinah Washington,Dinah_Washington,http://dbpedia.org/resource/Dinah_Washington,https://linkedjazz.org/image/square/Dinah_Washington.png,Q3,Q6,
Duke Ellington,Duke_Ellington,http://dbpedia.org/resource/Duke_Ellington,https://linkedjazz.org/image/square/Duke_Ellington.png,Q3,Q6,
Clifford Jordan,Clifford_Jordan,http://dbpedia.org/resource/Clifford_Jordan,https://linkedjazz.org/image/square/Clifford_Jordan.png,Q3,Q6,
Milt Hinton,Milt_Hinton,http://dbpedia.org/resource/Milt_Hinton,https://linkedjazz.org/image/square/Milt_Hinton.png,Q3,Q6,
Pat Patrick,Pat_Patrick,"http://dbpedia.org/resource/Laurdine_""Pat""_Patrick",https://linkedjazz.org/image/square/Laurdine_Pat_Patrick.png,Q3,Q6,
Max Roach,Max_Roach,http://dbpedia.org/resource/Max_Roach,https://linkedjazz.org/image/square/Max_Roach.png,Q3,Q6,
Thelonious Monk,Thelonious_Monk,http://dbpedia.org/resource/Thelonious_Monk,https://linkedjazz.org/image/square/Thelonious_Monk.png,Q3,Q6,
Artie Shaw,Artie_Shaw,http://dbpedia.org/resource/Artie_Shaw,https://linkedjazz.org/image/square/Artie_Shaw.png,Q3,Q6,
Mel Lewis,Mel_Lewis,http://dbpedia.org/resource/Mel_Lewis,https://linkedjazz.org/image/square/Mel_Lewis.png,Q3,Q6,
Count Basie,Count_Basie,http://dbpedia.org/resource/Count_Basie,https://linkedjazz.org/image/square/Count_Basie.png,Q3,Q6,
Clarence Henry,Clarence_Henry,http://dbpedia.org/resource/Clarence_Henry,https://linkedjazz.org/image/square/Clarence_Henry.png,Q3,Q6,
Alvin Queen,Alvin_Queen,,https://linkedjazz.org/image/square/Alvin_Queen.png,Q3,Q6,
Walter Dyett,Walter_Dyett,http://dbpedia.org/resource/Walter_Dyett,https://linkedjazz.org/image/square/Walter_Dyett.png,Q3,Q6,
Charles Davis_(saxophonist),Charles_Davis_(saxophonist),http://dbpedia.org/resource/Charles_Davis_(saxophonist),https://linkedjazz.org/image/square/Charles_Davis_(saxophonist).png,Q3,Q6,
George Butler_(record_producer),George_Butler_(record_producer),http://dbpedia.org/resource/George_Butler_(record_producer),https://linkedjazz.org/image/square/George_Butler_(record_producer).png,Q3,Q6,
Little Esther,Little_Esther,http://dbpedia.org/resource/Little_Esther,https://linkedjazz.org/image/square/Little_Esther.png,Q3,Q6,
Jimmy Evans,Jimmy_Evans,,https://linkedjazz.org/image/square/Jimmy_Evans.png,Q3,Q6,
Todd Barkan,Todd_Barkan,,https://linkedjazz.org/image/square/Todd_Barkan.png,Q3,Q6,
Little Jimmy Scott,Little_Jimmy_Scott,,https://linkedjazz.org/image/square/Little_Jimmy_Scott.png,Q3,Q6,
Frankie Valli,Frankie_Valli,http://dbpedia.org/resource/Frankie_Valli,https://linkedjazz.org/image/square/Frankie_Valli.png,Q3,Q6,
Lou Reed,Lou_Reed,http://dbpedia.org/resource/Lou_Reed,https://linkedjazz.org/image/square/Lou_Reed.png,Q3,Q6,
Wynonie Harris,Wynonie_Harris,http://dbpedia.org/resource/Wynonie_Harris,https://linkedjazz.org/image/square/Wynonie_Harris.png,Q3,Q6,
Nancy Wilson,Nancy_Wilson,http://dbpedia.org/resource/Nancy_Wilson_(jazz_singer),https://linkedjazz.org/image/square/Nancy_Wilson_(jazz_singer).png,Q3,Q6,
Jimmy Scott,Jimmy_Scott,http://dbpedia.org/resource/Jimmy_Scott,https://linkedjazz.org/image/square/Jimmy_Scott.png,Q3,Q6,
Charles Mingus,Charles_Mingus,http://dbpedia.org/resource/Charles_Mingus,https://linkedjazz.org/image/square/Charles_Mingus.png,Q3,Q6,
Jack Benny,Jack_Benny,http://dbpedia.org/resource/Jack_Benny,https://linkedjazz.org/image/square/Jack_Benny.png,Q3,Q6,
Mickey Rooney,Mickey_Rooney,http://dbpedia.org/resource/Mickey_Rooney,https://linkedjazz.org/image/square/Mickey_Rooney.png,Q3,Q6,
Clyde McPhatter,Clyde_McPhatter,http://dbpedia.org/resource/Clyde_McPhatter,https://linkedjazz.org/image/square/Clyde_McPhatter.png,Q3,Q6,
Howard Biggs,Howard_Biggs,,https://linkedjazz.org/image/square/Howard_Biggs.png,Q3,Q6,
Teddy Reig,Teddy_Reig,,https://linkedjazz.org/image/square/Teddy_Reig.png,Q3,Q6,
Winnie Brown,Winnie_Brown,,https://linkedjazz.org/image/square/Winnie_Brown.png,Q3,Q6,
Big Maybelle,Big_Maybelle,http://dbpedia.org/resource/Big_Maybelle,https://linkedjazz.org/image/square/Big_Maybelle.png,Q3,Q6,
Sarah Vaughan,Sarah_Vaughan,http://dbpedia.org/resource/Sarah_Vaughan,https://linkedjazz.org/image/square/Sarah_Vaughan.png,Q3,Q6,
Herman Lubinsky,Herman_Lubinsky,,https://linkedjazz.org/image/square/Herman_Lubinsky.png,Q3,Q6,
Larry Darnell,Larry_Darnell,http://dbpedia.org/resource/Larry_Darnell,https://linkedjazz.org/image/square/Larry_Darnell.png,Q3,Q6,
Joel Dorn,Joel_Dorn,http://dbpedia.org/resource/Joel_Dorn,https://linkedjazz.org/image/square/Joel_Dorn.png,Q3,Q6,
Benny Carter,Benny_Carter,http://dbpedia.org/resource/Benny_Carter,https://linkedjazz.org/image/square/Benny_Carter.png,Q3,Q6,
Julie London,Julie_London,http://dbpedia.org/resource/Julie_London,https://linkedjazz.org/image/square/Julie_London.png,Q3,Q6,
Freddy Mendelsohn,Freddy_Mendelsohn,,https://linkedjazz.org/image/square/Freddy_Mendelsohn.png,Q3,Q6,
Louis Armstrong,Louis_Armstrong,http://dbpedia.org/resource/Louis_Armstrong,https://linkedjazz.org/image/square/Louis_Armstrong.png,Q3,Q6,
Tommy Dorsey,Tommy_Dorsey,http://dbpedia.org/resource/Tommy_Dorsey,https://linkedjazz.org/image/square/Tommy_Dorsey.png,Q3,Q6,
Bill Cook,Bill_Cook,,https://linkedjazz.org/image/square/Bill_Cook.png,Q3,Q6,
Betty Carter,Betty_Carter,http://dbpedia.org/resource/Betty_Carter,https://linkedjazz.org/image/square/Betty_Carter.png,Q3,Q6,
Syd Nathan,Syd_Nathan,http://dbpedia.org/resource/Syd_Nathan,https://linkedjazz.org/image/square/Syd_Nathan.png,Q3,Q6,
Ray Charles,Ray_Charles,http://dbpedia.org/resource/Ray_Charles,https://linkedjazz.org/image/square/Ray_Charles.png,Q3,Q6,
Johnnie Ray,Johnnie_Ray,http://dbpedia.org/resource/Johnnie_Ray,https://linkedjazz.org/image/square/Johnnie_Ray.png,Q3,Q6,
Doc Pomus,Doc_Pomus,http://dbpedia.org/resource/Doc_Pomus,https://linkedjazz.org/image/square/Doc_Pomus.png,Q3,Q6,
David Lynch,David_Lynch,http://dbpedia.org/resource/David_Lynch,https://linkedjazz.org/image/square/David_Lynch.png,Q3,Q6,
Little Willie John,Little_Willie_John,http://dbpedia.org/resource/Little_Willie_John,https://linkedjazz.org/image/square/Little_Willie_John.png,Q3,Q6,
Dickie Sims,Dickie_Sims,,https://linkedjazz.org/image/square/Dickie_Sims.png,Q3,Q6,
